,region,value,device_type
6257,UT,34.0,ios
6333,GA,16.0,android
6334,GA,17.0,ios
6335,GA,10.0,android
6336,GA,12.0,ios
6337,GA,17.0,android
6338,GA,20.0,ios
6369,UT,7.0,android
6370,UT,13.0,ios
6371,UT,13.0,android
6372,UT,11.0,ios
6373,UT,14.0,android
6374,UT,12.0,ios
6430,UT,11.0,android
6431,UT,4.0,ios
6432,UT,9.0,android
6433,UT,0.0,ios
6434,UT,12.0,android
6435,UT,10.0,ios
6514,UT,4.0,android
6515,UT,0.0,ios
6516,UT,0.0,android
6517,UT,0.0,ios
6518,UT,0.0,android
6519,UT,4.0,ios
6532,UT,9.0,android
6533,UT,13.0,ios
6534,UT,11.0,android
6535,UT,20.0,ios
6536,UT,12.0,android
6537,UT,10.0,ios
6692,UT,4.0,android
6693,UT,0.0,ios
6694,UT,55.0,android
6695,UT,51.0,ios
6722,UT,15.0,android
6723,UT,5.0,ios
6724,UT,11.0,android
6725,UT,7.0,ios
6726,UT,25.0,android
6727,UT,13.0,ios
6738,UT,38.0,android
6739,UT,30.0,ios
6740,UT,43.0,android
6741,UT,38.0,ios
6742,UT,28.0,android
6743,UT,34.0,ios
6796,UT,4.0,android
6797,UT,0.0,ios
6798,UT,4.0,android
6799,UT,4.0,ios
6800,UT,4.0,android
6801,UT,5.0,ios
6857,UT,0.0,android
6858,UT,4.0,ios
6859,UT,4.0,android
6860,UT,4.0,ios
6861,UT,20.0,android
6862,UT,9.0,ios
7016,UT,7.0,android
7017,UT,7.0,ios
7018,UT,15.0,android
7019,UT,14.0,ios
7020,UT,20.0,android
7021,UT,9.0,ios
7105,UT,36.0,android
7106,UT,28.0,ios
7107,UT,26.0,android
7108,UT,21.0,ios
7109,UT,36.0,android
7110,UT,32.0,ios
7202,UT,25.0,android
7203,UT,21.0,ios
7204,UT,20.0,android
7205,UT,14.0,ios
7206,UT,34.0,android
7207,UT,31.0,ios
7274,UT,4.0,android
7275,UT,0.0,ios
7276,UT,4.0,android
7277,UT,0.0,ios
7278,UT,4.0,android
7279,UT,0.0,ios
7292,UT,0.0,android
7293,UT,0.0,ios
7296,UT,14.0,android
7297,UT,18.0,ios
7298,UT,18.0,android
7299,UT,18.0,ios
7300,UT,14.0,android
7301,UT,12.0,ios
7387,UT,,
7513,UT,32.0,android
7514,UT,27.0,ios
7515,UT,34.0,android
7516,UT,16.0,ios
7517,UT,29.0,android
7518,UT,11.0,ios
7519,UT,16.0,android
7520,UT,13.0,ios
7521,UT,10.0,android
7522,UT,6.0,ios
7523,UT,13.0,android
7524,UT,10.0,ios
7732,UT,21.0,android
7733,UT,33.0,ios
7734,UT,21.0,android
7735,UT,40.0,ios
7736,UT,32.0,android
7737,UT,28.0,ios
7752,UT,19.0,android
7753,UT,18.0,ios
7754,UT,11.0,android
7755,UT,20.0,ios
7756,UT,17.0,android
7757,UT,24.0,ios
7776,GA,,
7829,UT,68.0,android
7830,UT,30.0,ios
7831,UT,80.0,android
7832,UT,50.0,ios
7833,UT,67.0,android
7834,UT,41.0,ios
7983,UT,15.0,android
7984,UT,17.0,ios
7985,UT,17.0,android
7986,UT,26.0,ios
7987,UT,18.0,android
7988,UT,14.0,ios
8007,UT,45.0,android
8008,UT,30.0,ios
8009,UT,46.0,android
8010,UT,32.0,ios
8011,UT,47.0,android
8012,UT,38.0,ios
8031,UT,33.0,android
8032,UT,37.0,ios
8033,UT,24.0,android
8034,UT,35.0,ios
8035,UT,28.0,android
8036,UT,45.0,ios
8037,UT,84.0,android
8038,UT,38.0,ios
8039,UT,75.0,android
8040,UT,47.0,ios
8041,UT,73.0,android
8042,UT,28.0,ios
8107,UT,43.0,android
8108,UT,51.0,ios
8109,UT,38.0,android
8110,UT,64.0,ios
8111,UT,41.0,android
8112,UT,69.0,ios
8227,UT,14.0,android
8228,UT,19.0,ios
8229,UT,11.0,android
8230,UT,17.0,ios
8231,UT,19.0,android
8232,UT,36.0,ios
8386,UT,46.0,android
8387,UT,108.0,ios
8388,UT,4.0,android
8389,UT,8.0,ios
8390,UT,4.0,android
8391,UT,0.0,ios
8477,UT,42.0,android
8478,UT,36.0,ios
8479,UT,41.0,android
8480,UT,38.0,ios
8481,UT,52.0,android
8482,UT,40.0,ios
8501,UT,47.0,android
8502,UT,38.0,ios
8503,UT,52.0,android
8504,UT,37.0,ios
8505,UT,58.0,android
8506,UT,71.0,ios
8580,UT,0.0,android
8581,UT,4.0,ios
8582,UT,6.0,android
8583,UT,4.0,ios
8584,UT,11.0,android
8585,UT,13.0,ios
8702,UT,77.0,android
8703,UT,116.0,ios
8704,UT,75.0,android
8705,UT,96.0,ios
8706,UT,55.0,android
8707,UT,75.0,ios
8708,UT,4.0,android
8709,UT,10.0,ios
8710,UT,5.0,android
8711,UT,4.0,ios
8712,UT,8.0,android
8713,UT,11.0,ios
8822,UT,52.0,android
8823,UT,50.0,ios
8824,UT,61.0,android
8825,UT,51.0,ios
8826,UT,53.0,android
8827,UT,46.0,ios
8865,UT,12.0,android
